constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.5,1.0,0.7328526675,158,0.0025,5.0,4.0,0.7901395886,0.0864346051,0.7,0,2.144,ok,30.0,30.0
0.5,1.0,0.7312754429,159,0.001,5.0,4.0,0.788555487,0.0864002208,0.8,0,2.478,ok,30.0,30.0
0.5,1.0,0.7315396872,160,0.0025,5.0,4.0,0.7889257532,0.0869303299,0.8,0,2.227,ok,30.0,30.0
0.75,1.0,-0.0121541269,161,0.001,5.0,7.0,0.2065489008,0.7435151383,0.7,0,2.219,ok,15.0,15.0
0.75,1.0,-0.012196381,162,0.0025,5.0,7.0,0.2065262042,0.7436129257,0.7,0,2.532,ok,15.0,15.0
0.75,1.0,-0.0314559352,163,0.001,5.0,7.0,0.1874919496,0.7447394244,0.8,0,2.172,ok,15.0,15.0
0.75,1.0,-0.0315554747,164,0.0025,5.0,7.0,0.1874240295,0.7448975211,0.8,0,2.482,ok,15.0,15.0
0.75,1.0,0.7729703607,165,0.001,5.0,5.0,0.8618539094,0.1944177434,0.7,0,2.234,ok,30.0,15.0
0.75,1.0,0.77317803,166,0.0025,5.0,5.0,0.8621147731,0.1946837157,0.7,0,2.537,ok,30.0,15.0
0.75,1.0,0.7686777875,167,0.001,5.0,5.0,0.8576027234,0.1946246797,0.8,0,2.236,ok,30.0,15.0
0.75,1.0,0.7689694761,168,0.0025,5.0,5.0,0.8580096874,0.1952010565,0.8,0,2.706,ok,30.0,15.0
0.75,1.0,0.2478889304,169,0.001,5.0,4.0,0.4126462712,0.6237867037,0.7,0,2.207,ok,15.0,20.0
0.75,1.0,0.247849686,170,0.0025,5.0,4.0,0.4126594365,0.6240487525,0.7,0,2.491,ok,15.0,20.0
0.75,1.0,0.2311714474,171,0.001,5.0,4.0,0.3959699873,0.6239926996,0.8,0,2.259,ok,15.0,20.0
0.75,1.0,0.2309457139,172,0.0025,5.0,4.0,0.3958584624,0.6245637423,0.8,0,2.148,ok,15.0,20.0
0.75,1.0,0.8318677469,173,0.001,5.0,2.0,0.8788027073,0.134674802,0.7,0,2.517,ok,30.0,20.0
0.75,1.0,0.8321245727,174,0.0025,5.0,2.0,0.879110408,0.1349291766,0.7,0,2.209,ok,30.0,20.0
0.75,1.0,0.8289737113,175,0.001,5.0,2.0,0.8759494914,0.1348789004,0.8,0,2.51,ok,30.0,20.0
0.75,1.0,0.8293431787,176,0.0025,5.0,2.0,0.8764310631,0.1354394225,0.8,0,2.188,ok,30.0,20.0
0.75,1.0,0.4327242205,177,0.001,5.0,2.0,0.5576523327,0.5246405611,0.7,0,2.563,ok,15.0,25.0
0.75,1.0,0.4327529909,178,0.0025,5.0,2.0,0.557731978,0.5248949357,0.7,0,2.219,ok,15.0,25.0
0.75,1.0,0.4130626519,179,0.001,5.0,2.0,0.5380315838,0.5248446594,0.8,0,2.221,ok,15.0,25.0
0.75,1.0,0.4129468654,180,0.0025,5.0,2.0,0.5380279017,0.5254051815,0.8,0,2.181,ok,15.0,25.0
0.75,1.0,0.8286912837,181,0.001,5.0,1.0,0.8552852876,0.0829700191,0.7,0,2.255,ok,30.0,25.0
0.75,1.0,0.8289981128,182,0.0025,5.0,1.0,0.8556407731,0.0832133017,0.7,0,2.523,ok,30.0,25.0
0.75,1.0,0.8268646094,183,0.001,5.0,1.0,0.853498856,0.0831712331,0.8,0,2.208,ok,30.0,25.0
0.75,1.0,0.8273133506,184,0.0025,5.0,1.0,0.8540566179,0.0837163366,0.8,0,2.511,ok,30.0,25.0
0.75,1.0,0.5351768291,185,0.001,5.0,1.0,0.6307908353,0.428070031,0.7,0,2.246,ok,15.0,30.0
0.75,1.0,0.5352751578,186,0.0025,5.0,1.0,0.6309378205,0.4283133135,0.7,0,2.519,ok,15.0,30.0
0.75,1.0,0.5178469996,187,0.001,5.0,1.0,0.6135012486,0.428271245,0.8,0,2.207,ok,15.0,30.0
