constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
0.1,239.0,112,0.005,15.0,2504.0420854833,-0.4575950836,15447.875,93.0,0.8,0,4489.0513473242,2.395,139.2178144022,238.0,ok,720.0,720.0
0.5,239.0,113,0.005,15.0,1895.5053075131,0.1828821967,15447.875,93.0,0.8,0,3361.0770013183,2.156,5300.5870143338,126.0,ok,60.0,60.0
0.5,239.0,114,0.005,15.0,1823.0462888626,-0.0746017409,15447.875,93.0,0.8,0,3854.4276273499,2.373,2489.7160290969,135.0,ok,180.0,60.0
0.5,239.0,115,0.005,15.0,1803.0422784003,-0.2091707804,15447.875,93.0,0.8,0,4088.6501158352,2.167,1389.5767390609,139.0,ok,360.0,60.0
0.5,239.0,116,0.005,15.0,2107.0553593121,-0.3146960101,15447.875,93.0,0.8,0,4263.3285069862,2.169,793.2476917582,228.0,ok,720.0,60.0
0.5,239.0,117,0.005,15.0,2387.5378984364,-0.2877453039,15447.875,93.0,0.8,0,4219.4040271123,2.372,3493.8531893033,212.0,ok,60.0,180.0
0.5,239.0,118,0.005,15.0,2036.0433906639,-0.3233048274,15447.875,93.0,0.8,0,4277.2641730313,2.127,2118.7880808505,238.0,ok,180.0,180.0
0.5,239.0,119,0.005,15.0,2097.5679746809,-0.3670826945,15447.875,93.0,0.8,0,4347.4392152009,2.389,1295.1687545771,238.0,ok,360.0,180.0
0.5,239.0,120,0.005,15.0,2293.7471270924,-0.4071926415,15447.875,93.0,0.8,0,4410.7546777409,2.154,722.2472882007,238.0,ok,720.0,180.0
0.5,239.0,121,0.005,15.0,2015.6133088174,-0.3312286593,15447.875,93.0,0.8,0,4290.0509992431,2.464,1888.6664303278,238.0,ok,60.0,360.0
0.5,239.0,122,0.005,15.0,2216.3171321061,-0.3926705643,15447.875,93.0,0.8,0,4387.9363967291,2.129,1067.1371346942,238.0,ok,180.0,360.0
0.5,239.0,123,0.005,15.0,2358.2306961498,-0.4226231007,15447.875,93.0,0.8,0,4434.8716349328,2.379,630.7002438605,238.0,ok,360.0,360.0
0.5,239.0,124,0.005,15.0,2444.0369435145,-0.4426490007,15447.875,93.0,0.8,0,4465.976827,2.161,347.1608743773,238.0,ok,720.0,360.0
0.5,239.0,125,0.005,15.0,2310.974815232,-0.4058394298,15447.875,93.0,0.8,0,4408.6333902068,2.465,673.3151691891,238.0,ok,60.0,720.0
