constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.5,1.0,0.4179222155,101,0.01,20.0,0.0,0.4932779223,0.376778534,0.85,0,4.761,ok,60.0,20.0
0.5,1.0,0.3957330457,102,0.02,20.0,0.0,0.4694332622,0.3685010826,0.85,0,3.226,ok,60.0,20.0
0.5,1.0,0.4087593796,103,0.01,20.0,0.0,0.4837144522,0.3747753633,0.9,0,3.649,ok,60.0,20.0
0.5,1.0,0.3753825914,104,0.02,20.0,0.0,0.4482815397,0.3644947413,0.9,0,4.076,ok,60.0,20.0
0.5,1.0,0.1740467667,105,0.01,20.0,0.0,0.2106830682,0.1831815072,0.85,0,2.569,ok,30.0,30.0
0.5,1.0,0.1379184375,106,0.02,20.0,0.0,0.1728992486,0.1749040558,0.85,0,3.231,ok,30.0,30.0
0.5,1.0,0.1671131955,107,0.01,20.0,0.0,0.2033488629,0.1811783366,0.9,0,2.91,ok,30.0,30.0
0.5,1.0,0.1207117454,108,0.02,20.0,0.0,0.1548912883,0.1708977145,0.9,0,3.582,ok,30.0,30.0
0.5,1.0,0.3754203713,109,0.01,20.0,0.0,0.4732902128,0.4893492072,0.85,0,4.066,ok,60.0,30.0
0.5,1.0,0.3609700966,110,0.02,20.0,0.0,0.4571844478,0.4810717558,0.85,0,3.532,ok,60.0,30.0
0.5,1.0,0.366846278,111,0.01,20.0,0.0,0.4643154853,0.4873460366,0.9,0,2.831,ok,60.0,30.0
0.5,1.0,0.3417971277,112,0.02,20.0,0.0,0.4372102106,0.4770654145,0.9,0,3.588,ok,60.0,30.0
0.5,1.0,0.5959147603,113,0.01,20.0,0.0,0.6650389462,0.3456209296,0.85,0,5.363,ok,30.0,45.0
0.5,1.0,0.584085711,114,0.02,20.0,0.0,0.6515544066,0.3373434782,0.85,0,3.003,ok,30.0,45.0
0.5,1.0,0.5930588323,115,0.01,20.0,0.0,0.6617823841,0.343617759,0.9,0,4.626,ok,30.0,45.0
0.5,1.0,0.5759985164,116,0.02,20.0,0.0,0.6426659438,0.3333371369,0.9,0,3.613,ok,30.0,45.0
0.5,1.0,0.2186747142,117,0.01,20.0,0.0,0.3390958175,0.6021055165,0.85,0,3.053,ok,60.0,45.0
0.5,1.0,0.216673132,118,0.02,20.0,0.0,0.335438745,0.5938280651,0.85,0,3.336,ok,60.0,45.0
0.5,1.0,0.2113064496,119,0.01,20.0,0.0,0.3313269187,0.6001023458,0.9,0,3.652,ok,60.0,45.0
0.5,1.0,0.1999118204,120,0.02,20.0,0.0,0.3178761651,0.5898217237,0.9,0,3.268,ok,60.0,45.0
0.5,1.0,0.4877789052,121,0.01,20.0,0.0,0.5919624493,0.5209177205,0.85,0,3.459,ok,30.0,60.0
0.5,1.0,0.492327641,122,0.02,20.0,0.0,0.5948556949,0.5126402691,0.85,0,3.367,ok,30.0,60.0
0.5,1.0,0.4874217805,123,0.01,20.0,0.0,0.5912046905,0.5189145499,0.9,0,4.843,ok,30.0,60.0
0.5,1.0,0.4896016397,124,0.02,20.0,0.0,0.5913284252,0.5086339278,0.9,0,3.351,ok,30.0,60.0
0.5,1.0,-1.0059950176,125,0.01,20.0,91.0,0.0407860186,0.683905181,0.85,0,3.451,ok,60.0,60.0
0.5,1.0,-1.0013848301,126,0.02,20.0,91.0,0.0445022695,0.6794354979,0.85,0,3.154,ok,60.0,60.0
0.5,1.0,-1.0132070705,127,0.01,20.0,91.0,0.0330889405,0.6814800551,0.9,0,3.639,ok,60.0,60.0
0.5,1.0,-1.0178337183,128,0.02,20.0,91.0,0.0270833309,0.6745852461,0.9,0,3.683,ok,60.0,60.0
0.75,1.0,-0.0494436101,129,0.01,20.0,0.0,-0.0377390687,0.0585227074,0.85,0,3.111,ok,30.0,20.0
0.75,1.0,-0.0919771118,130,0.02,20.0,0.0,-0.0819280606,0.050245256,0.85,0,4.228,ok,30.0,20.0
0.75,1.0,-0.0547143826,131,0.01,20.0,0.0,-0.0434104753,0.0565195367,0.9,0,3.305,ok,30.0,20.0
0.75,1.0,-0.1078064651,132,0.02,20.0,0.0,-0.0985586821,0.0462389147,0.9,0,4.191,ok,30.0,20.0
0.75,1.0,0.4608416666,133,0.01,20.0,0.0,0.5425081541,0.4083324377,0.85,0,2.728,ok,60.0,20.0
0.75,1.0,0.444875471,134,0.02,20.0,0.0,0.5248864682,0.4000549863,0.85,0,4.265,ok,60.0,20.0
0.75,1.0,0.4545763893,135,0.01,20.0,0.0,0.5358422427,0.406329267,0.9,0,3.24,ok,60.0,20.0
0.75,1.0,0.4303201341,136,0.02,20.0,0.0,0.5095298631,0.3960486449,0.9,0,3.91,ok,60.0,20.0
0.75,1.0,0.2535032155,137,0.01,20.0,0.0,0.2986306476,0.2256371606,0.85,0,2.47,ok,30.0,30.0
0.75,1.0,0.2237749216,138,0.02,20.0,0.0,0.2672468635,0.2173597092,0.85,0,2.805,ok,30.0,30.0
