MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA;BIAS_EVENTO;PLATEAU_POINTS_OBS;TARGET_MISSING_SAME_EVENT
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;18;Validação;145;0.7676790727105566;22.76439188931911;0.9835344043919854;0.9924325605949681;33.55358752469785;122.55029115523746;942.0;55;88;subida_e_descida;9.265421004716917;1;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;21;Validação;113;0.923222719802284;19.662112139082577;0.9914825390235088;0.9958053797567976;32.63974122506273;136.76338324979668;1093.0;24;85;subida_e_descida;3.254947280570012;3;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;22;Treino;73;0.6272919572042341;12.97912596627439;0.964263195184116;0.9902196059022988;17.95713868308347;83.4089954688103;325.0;8;63;subida_e_descida;12.113221431890386;1;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;23;Validação;58;0.8698181883129558;17.86868804628216;0.9391244683750243;0.9813293420213979;26.707589275620617;80.71028909538109;358.0;12;45;subida_e_descida;16.585585390158208;0;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;24;Teste;203;0.9337796626756879;20.126309192025218;0.9973960045543665;0.9987756779903821;27.235674234864877;103.27466255833497;1816.0;83;116;subida_e_descida;6.632458455011438;3;8
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;30;Treino;58;0.41133693589743414;26.047033670996893;0.8231803704206884;0.9275846254798926;35.96929344077907;102.43478845983861;259.0;22;34;subida_e_descida;13.560006344973273;1;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;31;Teste;116;0.955034093260535;15.228178400333832;0.9955411584244064;0.997896609727404;22.376699747414303;75.16679462671118;1046.0;23;92;subida_e_descida;4.377117585922348;0;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;34;Teste;77;0.7806636282996173;18.110575285049585;0.9544895571774196;0.9816066022273902;28.136435934543734;134.0947470396667;444.0;22;51;subida_e_descida;11.97739031445489;3;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;35;Teste;40;0.8519783285513914;61.902082560576524;0.9348655627167286;0.9757242382369186;106.50885720945217;361.80864300386406;1637.0;19;20;subida_e_descida;-19.792337369861222;0;6
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;37;Teste;67;0.9241240043049784;25.936358005618622;0.9895313825969665;0.9960791369859457;35.19845976242432;104.63063195392454;1091.0;36;30;subida_e_descida;5.05875973744637;0;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;4;Treino;69;0.856057396009054;15.671132160752588;0.9683801901957754;0.9901330539534136;24.853391956034447;75.34169342525956;428.0;19;49;subida_e_descida;9.423353418354623;0;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;5;Treino;81;0.8195780875933805;22.603088328962073;0.9756914676233418;0.9910065074811133;35.271586563383174;135.83294511093425;687.0;30;49;subida_e_descida;11.411894565490629;1;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;6;Treino;51;0.9757854808902338;12.498719558980023;0.989223134494719;0.9948973625115526;16.1790103516887;42.77146544326888;533.0;13;37;subida_e_descida;3.556620797226723;0;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;7;Treino;46;0.7696225201796042;17.873900759141684;0.8466929815453459;0.9529734439826307;25.698971659935367;72.89188008463452;229.0;10;35;subida_e_descida;11.401630904854548;0;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;11;Treino;69;0.8492735358805309;11.426481705939864;0.9822885907427245;0.9935950712899058;14.567346031094669;37.78358441266437;358.0;21;45;subida_e_descida;5.505061652398395;2;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;12;Treino;174;0.8511556262068866;29.435144346283685;0.9862843325102979;0.9932702388323551;56.33114420284346;234.4447941577364;1725.0;39;131;subida_e_descida;-7.4911248633712555;3;14
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;13;Treino;60;0.7522621306194078;15.313234577751413;0.9345067875335601;0.9804876803312534;18.73023216166464;51.59632215516524;234.0;24;34;subida_e_descida;10.251169569410024;1;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;18;Validação;145;0.8000338090920904;20.6688388801968;0.9858275254270893;0.9939301011701741;31.129567165502266;129.80842153749995;942.0;55;88;subida_e_descida;8.244000752908022;1;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;21;Validação;113;0.9120031409465192;18.12309744538557;0.9902378697042706;0.995195277063437;34.943301113284086;150.6929266976656;1093.0;24;85;subida_e_descida;-4.518995851645618;3;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;22;Treino;73;0.4112452868847837;14.083280649530124;0.9435477375019787;0.9788762974473699;22.569396836743223;116.79622019710098;325.0;8;63;subida_e_descida;8.414200271425928;1;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;23;Validação;58;0.9061874535844715;14.08862555360073;0.9561314398522358;0.9793533093609695;22.67200848537111;78.65552837443101;358.0;12;45;subida_e_descida;5.7777044668666075;0;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;24;Teste;203;0.9397254692891749;19.284637071364525;0.9976298126859425;0.9988700109838425;25.984200306453836;73.9556374334245;1816.0;83;116;subida_e_descida;5.450772281798183;3;8
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;30;Treino;58;0.5153693251260751;22.851933683895655;0.854429092566527;0.936576848452112;32.636528952406515;122.84094957275181;259.0;22;34;subida_e_descida;7.654763548606551;1;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;31;Teste;116;0.9449427755229542;14.79659248247371;0.9945404983611822;0.9973411930524442;24.76061992904068;106.00064927242511;1046.0;23;92;subida_e_descida;-1.6577179308604895;0;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;34;Teste;77;0.7947189785342035;17.82771896821546;0.9574059235248864;0.9811609407964772;27.220002243564295;110.35011923933348;444.0;22;51;subida_e_descida;7.2719343162531365;3;4
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;35;Teste;40;0.8054035008454621;77.14249335166237;0.9143710961666447;0.969502969130974;122.121065385871;382.9745546912235;1637.0;19;20;subida_e_descida;-31.28767933708202;0;6
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;37;Teste;67;0.8967363112073761;32.14121616260776;0.9857527003145893;0.9949815029066512;41.06248947437461;110.78168060633038;1091.0;36;30;subida_e_descida;2.20209282392802;0;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;4;Treino;69;0.8852808798577296;15.198689340812903;0.9747997003025265;0.9911412225720748;22.187526812729434;64.70982716273295;428.0;19;49;subida_e_descida;6.790892757652314;0;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;5;Treino;81;0.8702214528438189;20.382327683165574;0.9825147290965864;0.9932459267218424;29.914504134074967;119.88896052834491;687.0;30;49;subida_e_descida;7.887261110771946;1;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;6;Treino;51;0.9218406504775774;17.86684675285768;0.9652145560287556;0.983692286871525;29.067286869368886;93.40397137030493;533.0;13;37;subida_e_descida;-1.657733815887398;0;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;7;Treino;46;0.8071476831784851;16.224301710907238;0.8716644798917482;0.9559776748203841;23.513006517009114;62.8827765860828;229.0;10;35;subida_e_descida;6.498715974524111;0;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;11;Treino;69;0.8248203396370787;13.094626152849237;0.979415169881654;0.993587856424947;15.704623202783031;35.66957766546;358.0;21;45;subida_e_descida;8.310062612346323;2;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;12;Treino;174;0.7154087905031535;41.89131847965784;0.9737755731004224;0.9869966589452024;77.8920442329852;316.2871543241822;1725.0;39;131;subida_e_descida;-5.4303866542601735;3;14
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;13;Treino;60;0.8630084164921015;11.594243102194566;0.9637842252085675;0.9896378389684104;13.92816504086361;34.03348434452721;234.0;24;34;subida_e_descida;7.5031096830212585;1;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;18;Validação;145;0.8445583971875125;17.217512117465972;0.9889831768388937;0.9955002420622971;27.44596012785585;175.50587043046187;942.0;55;88;subida_e_descida;7.819438764920612;1;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;21;Validação;113;0.7743000711740192;28.97891219442154;0.9749614686633646;0.9876251376490368;55.96236455789526;229.30083693856704;1093.0;24;85;subida_e_descida;-4.888954263808143;3;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;22;Treino;73;0.46346737145071415;17.045904445626736;0.9485550092238663;0.9784112905282061;21.545214563832644;69.24254728757478;325.0;8;63;subida_e_descida;8.473643327526428;1;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;23;Validação;58;0.8538875242574469;16.674340386648502;0.9316749819148931;0.9664234990310364;28.294575521492803;99.99617301657884;358.0;12;45;subida_e_descida;3.0665318704098694;0;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;24;Teste;203;0.8836881886412234;23.96842774151033;0.9954262475956847;0.9977895172253458;36.09560672469835;134.29471769022666;1816.0;83;116;subida_e_descida;6.612746923481284;3;8
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;30;Treino;58;0.7000147483216871;19.46872569191539;0.909891949545226;0.9596997839048877;25.67724739440204;73.41640557564278;259.0;22;34;subida_e_descida;5.7409994519651715;1;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;31;Teste;116;0.8409481780750985;23.180347949629002;0.9842283425889369;0.9922354166485372;42.084646245816934;179.0664335103587;1046.0;23;92;subida_e_descida;-0.8759253599510078;0;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;34;Teste;77;0.8360582385235924;16.933000862133568;0.965983470483878;0.9850339950814062;24.325319609961465;103.79854601106854;444.0;22;51;subida_e_descida;5.200595989762181;3;4
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;35;Teste;40;0.6480883979960412;107.03566386480054;0.8451472413082397;0.9482039166263916;164.22522499129084;480.76212177532454;1637.0;19;20;subida_e_descida;-54.994329937825626;0;6
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;37;Teste;67;0.8235418126416969;39.65919014348496;0.9756540492923232;0.9914312865189413;53.67751042842426;178.01194465493745;1091.0;36;30;subida_e_descida;-3.609787360494233;0;4
