MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;11;Treino;108;0.9634749689808465;7.723733953546242;0.9964615634716014;0.9985392792243439;10.73369101682873;45.725660211228615;750.0;36;68;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;12;Treino;175;0.9364639627823899;11.888731617490867;0.9982406776365041;0.9992146683586438;19.304156969407323;90.22527440286422;1696.0;38;133;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;13;Treino;60;0.7978468733056598;6.446560605099126;0.9861678192402966;0.9942037974798473;8.821499085812244;27.06129478108437;285.0;28;30;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;18;Validacao;145;0.6537970014944708;11.971551521492609;0.9934510727532995;0.9971734050632622;21.631146162838828;100.09965888711724;1134.0;59;84;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;21;Validacao;113;0.9450903298405272;8.802184880520695;0.9984380748323572;0.9994035702402866;14.040458060392126;57.04341397290409;1093.0;24;85;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;22;Treino;95;0.7855677158367488;22.45489415568032;0.9755860239188895;0.9915213311598741;46.57371805730979;178.86565747233726;1455.0;33;60;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;23;Validacao;58;0.806503143709865;13.009806233022239;0.9747656792152539;0.9875182859730586;17.397867623176708;51.09808312271605;358.0;12;41;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;24;Teste;199;0.9005372893952398;12.130887278469212;0.9989778660872896;0.999614303888292;17.031316800045953;73.00171261489186;1757.0;82;113;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;30;Treino;58;0.35169957121782314;16.32896564305049;0.9408184367992738;0.9706415335597892;21.092959385590454;53.55459774773885;331.0;25;31;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;31;Teste;116;0.9471633634482426;8.205540808208827;0.9986522709970875;0.9994868809139841;12.305218939587517;55.707189533213295;1041.0;24;91;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;34;Teste;77;0.6500078414786532;11.523840061511656;0.9801888697342359;0.9901890253994455;19.138751091241136;81.62737421621352;528.0;24;49;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;35;Teste;40;0.9010529304936847;25.612349357987647;0.9907779892757164;0.9960611429734534;44.50625284593728;160.18390319446337;1603.0;19;20;subida_e_descida
