dataset,label,horizon_h,model,backend,fold_count,test_event_count,median_mae_cm,mean_mae_cm,worst_fold_mae_cm,median_rmse_cm,median_nse,median_bias_cm,median_peak_error_cm,worst_peak_error_cm,median_peak_lag_h,worst_peak_lag_h,completed_folds,event_rows,rank_by_mae_rmse,family
stz_8h_v001,Santa Tereza · 8 h V001,8,Seq2Seq · decoder 1 passo,pytorch-cpu,11,11,177.66070288264194,173.80120826090533,270.77153229861,199.97602899046893,-3.5966047320847645,-96.4740962887797,135.73912598137736,230.39653931463783,8.0,96.0,11,11,22,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,NLinear experimental,pytorch-cpu,11,11,217.0878784525009,260.95177330788374,617.0095714912849,274.2851023070462,-9.55009944274053,-101.75962993754712,164.52432524557037,576.0838078852441,25.0,101.0,11,11,23,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,Persistência,baseline,11,11,539.8983050847457,579.1616008142311,1168.6470588235295,558.1665203205757,-34.615414213602264,539.8983050847457,465.0,1212.0,19.0,102.0,11,11,24,baseline
stz_8h_v002,Santa Tereza · 8 h V002,8,Elastic Net,scikit-learn,4,4,47.47821164606296,50.495008864348456,76.85079262473367,53.5288364213435,0.6286207146641445,4.27511789579325,35.41017150878906,54.82638549804688,1.5,14.0,4,4,1,linear
stz_8h_v002,Santa Tereza · 8 h V002,8,Ridge,scikit-learn,4,4,49.32374446831861,51.81193312473804,77.51280489834872,55.98979546620048,0.5915587410459009,4.19601636250466,29.02729797363281,57.76974487304688,1.5,14.0,4,4,2,linear
stz_8h_v002,Santa Tereza · 8 h V002,8,MLP,scikit-learn,4,4,50.29605156832752,52.33170454332873,71.8812001052412,61.97529603387227,0.3422443519397816,15.24141519719904,37.76947021484375,98.71759033203124,4.0,69.0,4,4,3,neural tabular
stz_8h_v002,Santa Tereza · 8 h V002,8,Extra Trees,scikit-learn,4,4,52.67351491710521,53.69857697735351,65.02147291208439,65.227947542907,0.2554775202387964,9.45423058128556,73.11485550401218,122.0644150972044,9.5,69.0,4,4,4,árvores
stz_8h_v002,Santa Tereza · 8 h V002,8,HistGradientBoosting,scikit-learn,4,4,55.43942729979486,59.360534574494025,74.05244905386343,66.64597345720045,0.0980361815306508,8.325791073566524,70.51269104202174,83.26384678582554,11.5,27.0,4,4,5,boosting
stz_8h_v002,Santa Tereza · 8 h V002,8,N-BEATS experimental,pytorch-cpu,4,4,56.0828256228174,51.23403068009424,57.65899800476216,66.10209550717924,0.3524716309186635,11.460471653696152,34.35538734589463,46.93462870679224,3.5,69.0,4,4,6,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,Random Forest,scikit-learn,4,4,56.2080286883935,56.545951695660186,70.56278587486051,65.24575676342846,0.3202237355121234,18.37246343291524,89.48059387901336,107.09582796768814,3.0,66.0,4,4,7,árvores
stz_8h_v002,Santa Tereza · 8 h V002,8,XGBoost,xgboost,4,4,56.37952613343252,56.46691790860942,64.02211729237732,67.34090370723426,0.0564405175541844,16.70609260552348,62.038612365722656,91.00787353515624,3.5,66.0,4,4,8,boosting
stz_8h_v002,Santa Tereza · 8 h V002,8,PatchTST experimental,pytorch-cpu,4,4,58.40220418934565,60.16211340563525,80.82096343225314,76.12184446193197,-0.2235233800448473,41.26553330453602,37.7609681651568,173.48840255169432,3.0,69.0,4,4,9,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,CatBoost,catboost,4,4,60.94925555521655,60.41428579633383,82.76228273862323,72.23537767060387,0.1132830120757798,21.8619439360312,95.65500253992008,198.0939988767435,4.0,68.0,4,4,10,boosting
stz_8h_v002,Santa Tereza · 8 h V002,8,LightGBM,lightgbm,4,4,62.78666691441656,61.04094334116561,73.02888164335558,73.33085125813611,0.0579728399785122,12.870011785435295,72.12914890371613,92.52435237523184,11.5,68.0,4,4,11,boosting
stz_8h_v002,Santa Tereza · 8 h V002,8,SVR,scikit-learn,4,4,63.30362066033764,75.24136337826457,127.15076737364564,74.93474848538003,-0.0549067693173744,37.816077902046615,71.86585171168736,339.197914730175,13.5,61.0,4,4,12,kernel
stz_8h_v002,Santa Tereza · 8 h V002,8,TSMixer experimental,pytorch-cpu,4,4,70.90736475864,76.06321283512887,115.71715471013918,81.62519446540969,0.0156891747581157,26.336004265187466,101.7072750069528,175.4523307357847,26.5,63.0,4,4,13,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,Transformer temporal,pytorch-cpu,4,4,72.81711940991977,68.13487066094112,73.29778260707084,91.65449105237394,-0.6907966485968728,52.08588496452773,46.19821447364495,123.43228419781803,5.5,69.0,4,4,14,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,TCN,pytorch-cpu,4,4,80.17146495840831,75.52278542032447,115.2026480482014,102.4440810138906,-0.3440437110819858,4.144526289634251,107.45086138474784,135.506631384078,5.0,69.0,4,4,15,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,N-HiTS-lite experimental,pytorch-cpu,4,4,80.79072527073727,80.37204842240325,127.74542236568549,100.8634334956044,-0.2836493728977847,-8.962694761839916,74.02655226434084,113.28529213345678,6.0,69.0,4,4,16,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,CNN-1D temporal,pytorch-cpu,4,4,91.7063959614693,78.13331271360833,107.78104275458222,119.51572091346718,-0.9449056138417612,-32.629787049713656,31.569503780642208,103.33577630976488,5.0,69.0,4,4,17,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,TFT-lite experimental,pytorch-cpu,4,4,94.34369229895483,91.38359457477802,144.62534773279822,118.58783792633837,-0.9161050182967722,22.7134470012192,42.65565716909174,98.60502652690946,7.5,69.0,4,4,18,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,GRU,pytorch-cpu,4,4,100.86567750394973,98.83027905739874,129.2600277320149,131.19457166321874,-1.827241269110775,4.480675353669763,101.10588262216272,133.9152053231138,5.0,69.0,4,4,19,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,LSTM,pytorch-cpu,4,4,112.20861849426048,100.98060408797312,123.14623937241886,141.15898577783594,-2.003981068127644,17.285625438287227,97.22081870803234,197.1533546681736,5.0,64.0,4,4,20,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,DLinear experimental,pytorch-cpu,4,4,114.02513042933364,105.77276139151816,144.64273905562223,142.38011679906268,-1.8967831093283645,28.934146162837184,144.63576563408628,313.36281465967147,16.5,69.0,4,4,21,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,Seq2Seq · decoder 1 passo,pytorch-cpu,4,4,125.14386449456302,116.30367470751882,133.24985038504474,157.4563813781707,-2.7610182603881603,0.1406319874530197,149.38515280823995,196.678277457604,18.0,69.0,4,4,22,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,NLinear experimental,pytorch-cpu,4,4,125.80619805771168,142.5976296967372,229.5459549713753,155.85899973868143,-3.0316656753389744,25.124990885506328,107.55621875978146,344.8690769661638,23.0,59.0,4,4,23,temporal neural
stz_8h_v002,Santa Tereza · 8 h V002,8,Persistência,baseline,4,4,416.4318181818182,442.1883887054384,587.1267605633802,439.8320694551897,-37.75885106637063,416.4318181818182,351.0,732.0,19.5,64.0,4,4,24,baseline
